Specify early-control multisig,Whitelist,Weight,,,,,,,,,Methodology,
0x00432772Ed25d4Eb3C6EB26Dc461239b35cf8760,Snapshot,1,,Whitelist,COUNTA of Specify early-control multisig,SUM of Weight,Weight,,,,see subpages for whitelist category specific details,
0x01AB07010c2F4bf5971537669Cc19d5D8Cf320A0,Snapshot,1,,,0,0,,,,,unique addresses; some ˜150 duplicates removed,
0x01F92621aDDBD8B688FE6539F6a69a0F892502eC,Snapshot,1,,Code4rena,37,111,3,,,,simple weights per category: 5 for key voters; 1 for regular voters; 3 for mix,
0x01c242FCbC1Ee9789527e9845771EedAecf440e5,Snapshot,1,,Degenscore,149,447,3,,,,,
0x023320e0C9Ac45644c3305cE574360E901c7f582,Snapshot,1,,HighCouncil,1,1,1,,,,key institutions,"excluded (most) VCs, remaining: clubs etc"
0x02D2477624320CFfD4961C6f12EC318be96AF6Ae,Snapshot,1,,key individual,91,455,5,,,,key individuals,high profile gov participants + ari's wishlist
0x03273Ed029d15F1034c13E555d49F534b045808b,Snapshot,1,,key individual ++,39,375,10,,,,Code4rena,More than 8 code audit reports
0x03853B09108931C5C8Ff9b1a7DE689e7E76e7711,Snapshot,1,,key institution,34,170,5,,,,Degenscore,past governance participants + verified sybil.org + degenscore above 700
0x03894d4ac41Dd6C4c2f524eD4417C90fA46972c6,Snapshot,1,,POAP,439,439,1,,,,POAP,ic3 poaps + devcon 1/2 + misc others
0x0398aD679807d94021E73efd527ac4a61f9eA1d0,Snapshot,1,,Snapshot,682,682,1,,,,Snapshot,very active snapshot voters
0x03b0E525adf31Ca9FA908BE5c986E2b53Cd3e1D4,Snapshot,1,,Grand Total,1472,2680,,,,,,
0x0426B2F8E43DeB95AD7A840F8c2a517Ee33c6FB1,Snapshot,1,,,,,,,,,,
0x04A8C06Ac6D06f25c657Fe61106a485d2583BE71,Snapshot,1,,,,7.31%,,,,,To do,university org (waiting to hear back)
0x04E90bCbb9714F84aDc1b627C0DD4169C983F604,Snapshot,1,,,,,,,,,,
0x04e4F47e79B9B1A66f736b6797fE13F25e581C11,Snapshot,1,,,,,,,,,,
0x05144B6eBa04F846513c4e29812722f9397ee30a,Snapshot,1,,,,,,,,,,
0x0516cf37B67235E07aF38ad8E388d0E68089b0F2,Snapshot,1,,,,,,,,,,
0x05426FE88815453A5158C7C32F0a889Fb4c98580,Snapshot,1,,,,,,,,,,
0x054BA12713290eF5B9236E55944713c0Edeb4Cf4,Snapshot,1,,Raw distribution,,,,Weighted distribution,,,,
0x0585c0d0aEdF071a07992ad650bdc047Cef0c04F,Snapshot,1,,,,,,,,,,
0x05f7F81Ef8b158be44b96A3a3Bd5351BdF28946c,Snapshot,1,,,,,,,,,,
0x0678e836C26AbcFcd2b7e49559aA1a8B0f3ad36A,Snapshot,1,,,,,,,,,,
0x068EE4603D5EC5CF0110FC28Fe8a6942b19ba273,Snapshot,1,,,,,,,,,,
0x06FA22D76a0205F4972580E63090a97f1c788F67,Snapshot,1,,,,,,,,,,
0x06c4865ab16c9C760622f19a313a2E637E2e66a2,Snapshot,1,,,,,,,,,,
0x06f1758640be24e670B46d6006cF6A30bB5860DB,Snapshot,1,,,,,,,,,,
0x070341aA5Ed571f0FB2c4a5641409B1A46b4961b,Snapshot,1,,,,,,,,,,
0x07726d7e4ed80c8C64a8dd27e64F876Bd4225744,Snapshot,1,,,,,,,,,,
0x078Ad5270b0240D8529f600f35A271Fc6E2b2bD8,Snapshot,1,,,,,,,,,,
0x07E9d06db58A77407DB95D93Fbe1275a46F97463,Snapshot,1,,,,,,,,,,
0x080a75c96bF646Cd9f78aaF8C9869a510E9c68bb,Snapshot,1,,,,,,,,,,
0x085ED975A8b6B860DE3C2b871da60a3f9F48A5B8,Snapshot,1,,,,,,,,,,
0x09D1E14bc93217B9F2d083509E94dEe161ffd9AC,Snapshot,1,,,,,,,,,,
0x09DA2d53C9d7e569e428b7F4A5c82C7CD855a7D4,Snapshot,1,,,,,,,,,,
0x0CBAF9E960fa465Eb91d1E57C854af9D3d7490BA,Snapshot,1,,,,,,,,,,
0x0D3B8744600dA2e200d2a46f676fd5a29B7BD1BC,Snapshot,1,,,,,,,,,,
0x0DE92626498717585F06E5bF5B85A7A88872F5B3,Snapshot,1,,,,,,,,,,
0x0E9dC0f9f075C51B32324D74055D961E3A97228f,Snapshot,1,,,,,,,,,,
0x0a028619ac71de5AABace9862CDe22837e667849,Snapshot,1,,,,,,,,,,
0x0a2fBdC55d162b06C01179E5F55F0644Aa9F01F3,Snapshot,1,,,,,,,,,,
0x0b1937f6Ee406ca9E44dd99035dA38840c242A9d,Snapshot,1,,,,,,,,,,
0x0b9c8e96Aa0567F9e6113A8524C077E5c614371b,Snapshot,1,,,,,,,,,,
0x0e569D21238a29D82AcbeE5E51C717Bac80a2DD8,Snapshot,1,,,,,,,,,,
0x0f03D543f782C99dA39552a12e37A443fbD80E70,Snapshot,1,,,,,,,,,,
0x0fF9B6AB6Ec58ceB6D5ae8a1690dd5a0959aD002,Snapshot,1,,,,,,,,,,
0x10061123876CEeA12642342AfE829444b7E0d48a,Snapshot,1,,,,,,,,,,
0x1125917201ed36700F86c3CecEC8C5DAfAe280D1,Snapshot,1,,,,,,,,,,
0x1187f876a75086BF5b4D65cb8961845cBC1a889E,Snapshot,1,,,,,,,,,,
